seed_id,sheet_name,name_ro
1,Poiana Stanii Regale loop,Poiana Stânii Regale loop
2,Poteca Regala - Stanca Franz Joseph,Poteca Regală - Stânca Franz Joseph
3,Cumpatu - Sfanta Ana forest loop,Cumpătu - Sfânta Ana forest loop
4,Valea Pelesului - Poiana Stanii,Valea Peleșului - Poiana Stânii
5,Piscul Cainelui,Piscul Câinelui
6,Cascada Vanturis via Izvorul Dorului,Cascada Vânturiș via Izvorul Dorului
7,Cota 1400 on foot (old road),Cota 1400 on foot (old road)
8,Cota 1400 - Cota 2000 on foot,Cota 1400 - Cota 2000 on foot
9,Varful cu Dor via Valea Dorului,Vârful cu Dor via Valea Dorului
10,Varful Furnica via Drumul de Vara,Vârful Furnica via Drumul de Vară
11,Piatra Arsa via Drumul de Vara,Piatra Arsă via Drumul de Vară
12,Saua Varfului cu Dor - Izvorul Dorului loop,Șaua Vârfului cu Dor - Izvorul Dorului loop
13,Poiana Stanii - Furnica - Cota 1400 loop,Poiana Stânii - Furnica - Cota 1400 loop
14,Dichiu - Izvorul Dorului old path,Dichiu - Izvorul Dorului old path
15,Valea Rea forest valley,Valea Rea forest valley
16,Furnica - Babele - Pestera,Furnica - Babele - Peștera
17,Piatra Arsa - Jepii Mari - Busteni,Piatra Arsă - Jepii Mari - Bușteni
18,Piscul Cainelui - Poiana Reginei loop,Piscul Câinelui - Poiana Reginei loop
19,Manastirea Sinaia - Poiana Stanii - Cota 1400,Mănăstirea Sinaia - Poiana Stânii - Cota 1400
20,Cota 2000 - Furnica - Varful cu Dor loop,Cota 2000 - Furnica - Vârful cu Dor loop
21,Muntele Paduchiosul - Varful Zamora,Muntele Păduchiosul - Vârful Zamora
22,Sinaia - Baiului traverse - Azuga,Sinaia - Baiului traverse - Azuga
23,Paduchiosul - Varful Baiu Mic,Păduchiosul - Vârful Baiu Mic
24,Cascada Urlatoarea,Cascada Urlătoarea
25,Castelul Cantacuzino - Zamora loop,Castelul Cantacuzino - Zamora loop
26,Poiana Tapului - Urlatoarea loop,Poiana Țapului - Urlătoarea loop
27,Gura Diham - Cabana Diham,Gura Diham - Cabana Diham
28,Gura Diham - Poiana Izvoarelor - Diham loop,Gura Diham - Poiana Izvoarelor - Diham loop
